ID	l [deg]	b [deg]	Area [pc^2]	Distance [kpc]	Flag	Mass [M_o]	# of distance points
146 	36.90716666666498 	-0.4884999999999511    	6.724345386189006    	4.84	B	759.3203989604895  	1 
147 	36.86649999999831 	-0.3654999999999634    	3.607566502436031    	4.84	B	182.99824244260174 	1 
148 	36.881166666664974	-0.4384999999999561    	5.991781513410517    	8.49	A	288.3904651368622  	1 
149 	36.932499999998306	-0.5298333333332804    	7.869067753246252    	8.29	A	291.5636018554251  	1 
150 	36.90083333333164 	-0.22749999999997722   	33.67891397763158    	8.51	A	998.4860574213341  	2 
151 	36.86116666666498 	-0.20183333333331313   	62.29118342615034    	8.65	A	1929.9490696271735 	4 
152 	36.816499999998314	-0.1898333333333143    	0.6280527499160583   	8.65	A	12.925992099437416 	1 
153 	36.665166666664994	-0.11383333333332193   	29.301633477291073   	3.26	B	1088.8174238343206 	10
154 	36.62549999999833 	-0.08516666666665815   	0.16042798260122212  	3.21	A	3.7292145449746745 	1 
155 	36.590499999998336	-0.08583333333332474   	4.063860513741501    	3.19	A	150.30670653238673 	2 
156 	36.38483333333169 	-0.13783333333331954   	39.983549440936294   	4.5 	B	1408.1868746071837 	5 
157 	36.90149999999831 	-0.13116666666665355   	20.311831264637288   	8.57	A	729.7676937669319  	3 
158 	36.86383333333164 	-0.12583333333332075   	2.7138440255595957   	4.77	A	90.27325166782704  	1 
159 	36.834166666664984	0.021499999999997854   	18.889332537118907   	5.43	A	624.1315934166     	2 
160 	36.84149999999832 	-0.02316666666666435   	31.106484206102525   	9.79	A	948.7084149910902  	2 
161 	36.78349999999832 	-0.035499999999996444  	15.320107647153902   	9.8 	B	749.352107506472   	1 
162 	36.78016666666499 	-0.06416666666666024   	2.6772973644653963   	8.29	B	113.23479178459372 	1 
163 	36.85783333333165 	0.28683333333330463    	1.534476744267717    	8.1 	A	17.272825374875342 	1 
164 	36.84183333333165 	0.30749999999996924    	27.53472887615454    	8.13	A	755.1531533547658  	1 
165 	36.80816666666498 	0.37216666666662945    	8.789496645165736    	8.23	A	61.91172063151015  	1 
166 	36.77749999999832 	0.4134999999999587     	59.1816874372088     	9.01	A	953.6490158050543  	3 
167 	36.769166666664994	0.7048333333332628     	0.47014381799096594  	1.4 	A	6.263965302653868  	1 
168 	36.716166666664996	0.6564999999999342     	1.074725348940115    	1.44	A	17.293377288515114 	1 
