ID	l [deg]	b [deg]	Area [pc^2]	Distance [kpc]	Flag	Mass [kg]	# of distance points
120 	37.492166666664914	0.15216666666665146    	0.002643393433781807  	5.55	A	129243793.55816837	1 
121 	37.47249999999825 	0.18149999999998184    	0.0007644753912698534 	7.79	A	9873035.936113061 	1 
122 	37.39516666666493 	0.08849999999999116    	0.0014147999158586474 	7.81	A	44420976.195172615	1 
123 	37.367833333331596	0.06549999999999345    	0.00047115930246514757	7.85	B	33505597.35375027 	2 
124 	37.322166666664934	0.13049999999998696    	0.0007311859409529086 	7.29	A	18022655.580628444	1 
125 	37.3108333333316  	0.09549999999999044    	0.0010277974087588976 	7.29	B	71766355.20010296 	2 
126 	37.28016666666493 	0.10683333333332264    	0.0003299101426153328 	7.4 	B	14269853.511785451	1 
127 	37.67549999999823 	-0.08949999999999106   	0.00017502657782690736	5.45	A	9366498.72343521  	1 
128 	37.60116666666491 	0.42816666666662384    	0.0016618344254219677 	7.36	A	134299254.05264276	1 
129 	37.583499999998246	0.4251666666666241     	0.00027055875531514214	7.2 	A	12378352.788961312	1 
130 	37.214166666664944	-0.025166666666664145  	0.0002655971647202386 	5.77	B	6625469.477026911 	1 
131 	37.214499999998274	-0.016166666666665046  	4.200439595751876e-05 	7.46	B	592419.5174186297 	1 
132 	37.20716666666495 	0.29783333333330353    	0.0004889526913440804 	8.3 	A	14807736.954519063	1 
133 	37.16949999999828 	0.09916666666665674    	0.0009583227959785432 	7.56	B	59428344.686319925	1 
134 	37.16649999999828 	0.06516666666666016    	0.00017707598256528416	5.78	B	8313742.097390544 	1 
135 	37.18183333333161 	-0.0014999999999998521 	0.001992692808218716  	7.52	A	36804478.79296896 	3 
136 	37.13016666666495 	-0.24216666666664247   	0.0007679075800467115 	7.41	A	64412735.78410411 	1 
137 	37.10249999999829 	-0.22483333333331085   	7.98618819938444e-05  	8.38	A	9182348.041373488 	1 
138 	37.081166666664956	-0.15049999999998495   	0.0013011423043192158 	4.69	B	12315898.142328348	1 
139 	37.103833333331615	-0.13116666666665355   	0.0002411771020910909 	8.35	B	1427992.4645939602	1 
140 	37.05749999999829 	-0.024166666666664248  	0.0017992774153194062 	8.39	A	141010467.3274671 	2 
141 	37.04216666666496 	-0.06949999999999304   	0.0016170148063788148 	8.39	A	20308989.201272294	1 
142 	37.02883333333163 	-0.4244999999999575    	0.00036829409352285485	4.99	A	5677082.908353523 	1 
143 	36.948499999998305	0.26216666666664046    	0.010088906875494028  	9.8 	A	109040067.49123405	1 
144 	36.93283333333164 	-0.040833333333329246  	0.0007075066649037791 	4.81	A	3474671.7509466866	2 
145 	36.90083333333164 	-0.4101666666666256    	0.001084648566001022  	4.84	B	102283708.36974786	3 
146 	36.90716666666498 	-0.4884999999999511    	0.0006724345386151073 	4.84	B	57699118.461717784	1 
147 	36.86649999999831 	-0.3654999999999634    	0.000360756650241568  	4.84	B	13905641.522915611	1 
148 	36.881166666664974	-0.4384999999999561    	0.0005991781513376718 	8.49	A	21914169.083224576	1 
149 	36.932499999998306	-0.5298333333332804    	0.0007869067753201861 	8.29	A	22155288.894664157	1 
150 	36.90083333333164 	-0.22749999999997722   	0.0033678913977441593 	8.51	A	75872800.71547885 	2 
151 	36.86116666666498 	-0.20183333333331313   	0.006229118342579895  	8.65	A	146652664.86445943	4 
152 	36.816499999998314	-0.1898333333333143    	6.280527499125152e-05 	8.65	A	982218.2446325609 	1 
153 	36.665166666664994	-0.11383333333332193   	0.0029301633477125774 	3.26	B	82736886.3091321  	10
154 	36.62549999999833 	-0.08516666666665815   	1.604279826003171e-05 	3.21	A	283374.9654220089 	1 
155 	36.590499999998336	-0.08583333333332474   	0.0004063860513718577 	3.19	A	11421482.259235477	2 
156 	36.38483333333169 	-0.13783333333331954   	0.003998354944071074  	4.5 	B	107005081.65647721	5 
157 	36.90149999999831 	-0.13116666666665355   	0.0020311831264522707 	8.57	A	55453472.17042669 	3 
158 	36.86383333333164 	-0.12583333333332075   	0.0002713844025544286 	4.77	A	6859669.579583418 	1 
159 	36.834166666664984	0.021499999999997854   	0.0018889332537012351 	5.43	A	47426412.87333429 	2 
160 	36.84149999999832 	-0.02316666666666435   	0.0031106484205927045 	9.79	A	72090305.0901017  	2 
161 	36.78349999999832 	-0.035499999999996444  	0.0015320107647067485 	9.8 	B	56941649.506249614	1 
162 	36.78016666666499 	-0.06416666666666024   	0.00026772973644502933	8.29	B	8604467.460786853 	1 
163 	36.85783333333165 	0.28683333333330463    	0.00015344767442590607	8.1 	A	1312524.7245271965	1 
164 	36.84183333333165 	0.30749999999996924    	0.002753472887599921  	8.13	A	57382458.461284645	1 
165 	36.80816666666498 	0.37216666666662945    	0.0008789496645116153 	8.23	A	4704538.041881528 	1 
166 	36.77749999999832 	0.4134999999999587     	0.005918168743687495  	9.01	A	72465730.68386586 	3 
167 	36.769166666664994	0.7048333333332628     	4.701438179883139e-05 	1.4 	A	475985.20536614995	1 
168 	36.716166666664996	0.6564999999999342     	0.00010747253489340522	1.44	A	1314086.4200925196	1 
169 	36.71949999999833 	-0.4901666666666176    	0.0021337796039376114 	8.71	A	22674042.125324022	2 
170 	36.69649999999833 	-0.29049999999997095   	0.0006823264599652959 	8.93	A	10728990.547740838	1 
171 	36.68549999999833 	0.8291666666665837     	8.145271499154677e-05 	2.73	A	1796269.4512442453	1 
172 	36.636833333331666	-0.28516666666663815   	0.0005060657805086499 	4.91	A	8153735.570532996 	1 
173 	36.63649999999834 	-0.19949999999998005   	0.0008840711359285407 	8.89	A	20796401.962976933	1 
174 	36.62983333333167 	0.869499999999913      	9.603125082258025e-05 	2.7 	A	2595140.1738368482	2 
175 	36.602166666665   	0.8924999999999107     	8.216924759413811e-05 	2.69	A	2080892.3148961286	1 
176 	36.571833333331675	0.07949999999999205    	0.003945510302642929  	9.88	A	79824577.05794619 	3 
177 	36.569166666665005	0.8411666666665826     	2.440773476216896e-06 	0.92	B	89087.36590747266 	1 
178 	36.55316666666501 	0.8431666666665824     	5.3689868121320714e-05	2.64	B	1425955.9901557127	1 
179 	36.53583333333168 	0.33083333333330023    	0.005020646045703469  	9.18	A	57528674.544476464	2 
180 	36.47516666666502 	0.6324999999999368     	0.0002475810003221572 	9.18	B	6633543.664846929 	1 
181 	36.47049999999835 	0.6204999999999379     	0.00030606780486139176	9.1 	B	9534794.198043754 	1 
182 	36.46583333333169 	0.7148333333332618     	0.00042036968799755674	9.17	A	2535319.1165342703	1 
183 	36.448499999998354	0.6098333333332724     	0.0001781597626060979 	4.2 	B	5951460.070174972 	1 
184 	36.44816666666502 	0.6418333333332691     	0.0017015918157209234 	9.22	B	36462256.75446038 	1 
185 	36.436166666665024	0.5938333333332739     	0.0003999779544973553 	8.96	B	7369703.568168852 	1 
186 	36.41549999999835 	0.6568333333332677     	0.0002583749493603972 	9.22	A	3839157.437903105 	1 
187 	36.454499999998355	0.08749999999999125    	0.002705497471011114  	9.95	A	47943074.73340286 	1 
188 	36.40083333333169 	-0.2508333333333082    	0.001135075689123705  	8.97	A	15424255.575440982	1 
189 	36.346833333331695	-0.08683333333332466   	0.00017038232073674758	2.02	A	2389376.7758741993	3 
190 	36.29549999999837 	0.32949999999996704    	0.0002418267867393739 	8.21	B	16244092.538883327	1 
191 	36.29816666666503 	0.31349999999996864    	1.0696881343569762e-05	3.09	B	620471.9726692224 	1 
192 	36.19883333333171 	0.07083333333332625    	0.0010406716497264896 	8.55	A	43743593.61807137 	1 
193 	36.11016666666506 	0.5548333333332778     	0.0016213780261451897 	8.96	A	93570028.327338   	1 
